company_name,company_size,description,founded,headquarters,image,industry,name,num_employees,phone,specialties,type,website
"ac
",11-50 employees,"The Danish Confederation of Professional Associations.

Akademikerne is an umbrella organisation for its member organisations. These organisations offer service to professional and managerial staff graduated from universities and other higher educational institutions. Akademikerne (formerly AC) was founded in 1972 and has its head office in Copenhagen.
_________________

Akademikerne er partipolitisk uafhængig og samarbejder med medlemsorganisationerne for at sikre et attraktivt akademisk arbejdsmarked. Akademikerne skal øge akademikernes indflydelse i samfundet.",,"Copenhagen, DK",https://media.licdn.com/dms/image/C4E0BAQGX-HuFJ8KSuQ/company-logo_400_400/0?e=1583971200&v=beta&t=5JbtqtLSEhsGOwViz54VuoQnCcEjK7eA8WYxbJN2b6c,Political Organization,Akademikerne,119.0,,,Privately Held,http://www.ac.dk
"aviands
",2-10 employees,"Aviands is a company based out of 200 S Tucker Blvd, Saint Louis, Missouri, United States.",,"Saint Louis, Missouri",,,,,,,,
"anetwork
",11-50 employees,"Launched in 2010 as a CPC AdNetwork, and in a short span of time grew to be the largest Digital Marketing Dashboard in Iran",2010,"Pardis, Tehran",https://media.licdn.com/dms/image/C4D0BAQE05lfKtZfEfQ/company-logo_400_400/0?e=1583971200&v=beta&t=6Eu0f1W3UHosTe4Y8FzyOkkVmt6nfyIVLMoelsUlYeU,Marketing & Advertising,Anetwork (Digital Marketing),13.0,,"Online Advertising, Marketing, and Digital Marketing",Privately Held,https://anetwork.com
"aog
",11-50 employees,"AOG was formed in 2002 by bringing together a group of ambitious professionals who wanted to provide more than just accounting services. AOG are Registered Auditors regulated by the Association of Chartered Certified Accountants and Chartered Tax Advisers under the Chartered Institute of Taxation. 

We offer a wide range of services for all types of businesses both UK and International. We aim to provide an effective service for our clients in order to assist them in their growth, dealing with adhoc transactions and minimise tax. In addition to our core services we specialise in Corporate and Property Restructures and Reorganisations, Tax Planning, International Groups, Corporate Finance, Due Diligence and Forensic Accounting. 

In 2006 AOG expanded its services and opened an office in Nicosia, Cyprus. Additionally AOG was the founder of AOG Alliance, a network of affiliated professional firms which aims to provide a one stop shop that is able to provide the wide range of services that business requires. These include Accounting, Audit, Financial Services, Legal and I.T. The main objective is the ability of all professional firms within AOG Alliance network to work together in order to provide a better service that is efficient and cost effective to clients. 

The industry sectors which we have a vast amount of experience in include, inter alia: Property, Legal Practices, Entertainment, Manufacturing, Retail, and Service Companies.",2002,,https://media.licdn.com/dms/image/C4D0BAQGTC1uZtRRJbg/company-logo_400_400/0?e=1583971200&v=beta&t=iNNYKvWP067piS_RiRE5w8WZzdIpAb9I6k7JRmIc5AA,Accounting,AOG,249.0,,"Corporate Reorganisations and restructures, International Groups, Due Diligence and Forensic Accounting, and IHT and Tax Planning",Privately Held,http://www.aog.co.uk
"aalegalcashadvance
",2-10 employees,"Company dedicated to lending to plaintiffs on all personal injury, accident and worker's compensation cases.
The employees of AALegal have over 25 years of experience in the regulated consumer lending environment and are committed to provided fully disclosed loans without hidden fees or charges.  If the fee or rate is not in the Truth in Lending Disclosure; it is not in the Loan!

Attorneys and client/borrowers can be assured of fast and courteous service, competitive and transparent rates and fees. We are happy to review any company's documentation to make sure your client is fully apprised of all the terms of his/her loan and will not risk his/her settlement options by incurring more fees and charges than understood at loan signing.",2009,,,Financial Services,,,,"Lending to Clients on Injury, accident and worker's compensation lawsuits.",Privately Held,
"acolab
",2-10 employees,"O Açolab é uma iniciativa pioneira da ArcelorMittal no mundo. Criado com o propósito de atrair e acelerar projetos com alto potencial de impacto na cadeia de valor do aço, o Açolab conecta startups, empresas e parceiros às oportunidades de negócio da ArcelorMittal.

Por ser um espaço colaborativo, que reúne especialistas, empreendedores, academia, clientes e empregados da ArcelorMittal, o lab estimula a criatividade e a cocriação, fortalecendo a inovação e o empreendedorismo ao viabilizar novas soluções para a indústria.

Acesse o site, conecte-se com o Açolab e participe das atividades oferecidas ao ecossistema.

Benefícios para o ecossistema:
- Acesso às oportunidades de negócio da ArcelorMittal
- Aportes de tecnologia e de métodos ágeis
- Busca por redução dos custos e maior produtividade
- Inovação, melhorias e valor para a cadeia do aço
- Financiamentos e recursos

Benefícios para quem é da ArcelorMittal:
- Apoio na cocriação de soluções e execução de projetos
- Suporte para o desenvolvimento de metodologias
- Parceria para a prototipação
- Espaço para treinamentos e workshops
- Participação em eventos com especialistas",2018,"Nova Lima, Minas Gerais",https://media.licdn.com/dms/image/C560BAQFubFp31n0_ZA/company-logo_400_400/0?e=1583971200&v=beta&t=X812dfKSsG5MDM0kr94JFCmect3nszjLaFg-Q4AOHvE,Mining & Metals,Açolab,9.0,"31 3316-2154
        

          Phone number is 31 3316-2154","Inovação, Geração de Valor, Siderurgia, Metodologias, ArcelorMittal, Conexão, Aceleração, Ecossistemas de Startups, indústria, criação, empreendedorismo, solições, startups, multinacional, b2b, negócios, ecossistema, and incubadora",Privately Held,http://www.acolabam.com.br/
"acs
",0-1 employees,armandcoursodon.com,,,,Sports,,,,,Self-Employed,
"ade
",11-50 employees,"ADE (Analysis for Economic Decisions S.A.) is a consulting and advisory company located in Louvain-la-Neuve, near Brussels, Belgium. ADE is specialised in providing public decision-making support services, such as analysis and advisory studies, support in the formulation of strategies/policies/programmes, and evaluations and monitoring of strategies/policies/programmes. It also manages technical assistance projects for assignments worldwide. 

ADE's main clients are international organisations and national public institutions, such as the European Commission, the World Bank, United Nations funds and programmes, and EU and third country governments.

ADE is specialised in four main areas in which it has acquired a reputation for excellence:
- Macro-economics Policies and Public Finance Management
- Regional development and Innovation Policies
- Agricultural and rural development and the Environment 
- Evaluation & Monitoring

In addition, ADE has also developed recognised expertise in the following fields:
- Private Sector, Blending and Development Finance
- Impact Evaluation
- Framework Contracts
- Training on Aid Modalities
- Humanitarian Aid
- Conflict Resolution, Security and Fragility

ADE is managing several Framework Contracts (FWC) for the European Commission and other clients, most of which as a leading company : 
- EU DEVCO - FWC BENEF 2013 Lot 11 Macro economy, Statistics, Public Finance Management 
- EU DEVCO - FWC BENEF 2013 Lot 7 Governance and Home Affairs.
- EU DEVCO - FWC COM 2015 Lot 1 Evaluation
- EU DEVCO - Methodological and Knowledge Sharing Support Programme (MKS)
- EU ECHO - Evaluation FWC 
- World Food Programme (FWP) - Evaluation FWC
- Netherlands'​ Ministry of Foreign Affairs - Evaluation FWC lots 1 and 2
- Netherlands'​ Enterprise Agency - Evaluation FWC lot 2

ADE has a staff of >40 permanent consultants and assistants. ADE also works with a number of consortium partner companies and more than 100 external experts on an annual basis who are contracted for specific assignments.

We invite you to have a look at our opening positions for consulting projects on: www.ade.be/jobs-fwc.php 

You may also connect directly with our Commercial Department, by sending an invitation to connect with Yaroslava Bondar.",1990,,https://media.licdn.com/dms/image/C4D0BAQGqa50a69dbtw/company-logo_400_400/0?e=1583971200&v=beta&t=bPAn81OleuIpg-BiNit-LU4RhHaDiaAkO5yvb9t1nqE,International Trade & Development,ADE,701.0,,"Economic development, Trade and Competitiveness, Public Finance Management, Framework Contracts, International Project Management, Agricultural and rural development, Regional development, Monitoring, Blending, Humanitarian Aid, Impact Evaluation, Strategic Evaluations, Fragility, Private Sector Development, Training, Technical Assistance, M&E systems, and Environment",Privately Held,http://www.ade.eu
"aedgroup
",2-10 employees,"AED-Group levert een breed pakket aan facilitaire diensten:
*AED-Cleaning: klassieke en gespecialiseerde reinigingen.
*AED-Gardening:  Groenonderhoud.",2016,"Lochristi, Oost-vlaanderen",https://media.licdn.com/dms/image/C4E0BAQHP_aSeAMA90g/company-logo_400_400/0?e=1583971200&v=beta&t=nlV9vsVZMaoq2DJgrZPeSY3o8JCjJXla9DN2N8LtXQ8,Facilities Services,AED-Group,,,schoonmaak and groenonderhoud,Public Company,http://www.aed-group.be
"aifire
",11-50 employees,"AIFIRE empresa instaladora de protección contra incendios del grupo AICONSISTEMAS  provee al
mercado de soluciones e instalaciones altamente especializadas en ingeniería, diseño,
montaje, supervisión y legalización de Sistemas de Protección Contra Incendios, según
normativas nacionales e internacionales, con las mayores garantías de calidad y eficacia,
aplicando la más moderna tecnología en este sector.
AIFIRE dispone para el sector de Protección Pasiva Contra Incendios, una
amplia gama de servicio y productos tales como:
Departamento de Ingeniería en el área de seguridad contra incendios.
Suministro de materiales para ofrecer un servicio ágil y eficaz, con asesoramiento técnico
para la correcta aplicación.
Certificaciones de las instalaciones por nuestros ingenieros o por entidades auditoras
externas de control.

Instalaciones de sistemas constructivos en la ejecución de obra como:

-Sellados de pasos de instalaciones (bandejas de cables, tuberías de PVC,
tuberías metálicas, junta de dilatación).
-Divisiones y Trasdosados.
-Particiones vidriadas cortafuegos.
-Techos y Protecciones de forjados.
-Franja Cortafuegos.
-Protección de estructuras metálicas, madera, hormigón,
y de fibra de carbono.
-Protección de conductos de ventilación y extracción de humos.
-Realización de Ductos para cableado eléctrico.
-Instalación de Exutorios
-Cortinas de humo
-Cortinas cortafuegos (Fiberbarrier)
-Sistemas de detección y alarmas contra incendios
-Bies
-Instalación puertas RF
-Abastecimiento agua contra incendios
-Hidrantes


Consúltenos, tenemos la solución contra incendios adecuado a su proyecto",2006,"Odena, Cataluña",https://media.licdn.com/dms/image/C4D0BAQE8q_HehHE_6g/company-logo_400_400/0?e=1583971200&v=beta&t=7kCzzWoHOBMuT9hGkKyxxKzmW6MBy5AkWRVlzYjK4hk,Mechanical Or Industrial Engineering,Aifire,1.0,,"Conductos de ventilación y extracción de humos, Divisiones, trasdosados, techos, protección de forjados, Exutorios, vidrios rf, instalación cortinas de humos, cst, and Sellados de pasos, ductos",Sole Proprietorship,http://www.aifire.eu
"aim
",51-200 employees,"Askari Investment Management Limited (AIM) is one of the leading asset management companies of Pakistan. AIM is a wholly owned subsidiary of Askari Bank Ltd. The bank was founded in 1992, and since its inception, its growth and success patterns have far outpaced industry averages. AIM was incorporated in 2005 and is licensed by the Securities & Exchange Commission of Pakistan (SECP) to undertake Asset Management and Investment Advisory activities. AIM strives to maintain the Askari tradition of customer satisfaction and exemplary performance through innovative investment products. 
Our product platter is designed with an aim to cater the investment needs of a wide range of investors by suiting to their specific risk and return profiles. AIM comprises of the team of investment professionals who have a successful track record in their respective areas with diversified experience within financial and capital markets. AIM is committed towards improving the financial futures of investors by nurturing a mutually beneficial relationship built on the highest standards of trust, transparency and care.",2005,"Karachi, Sind",https://media.licdn.com/dms/image/C4E0BAQH66ytI-XZXuw/company-logo_400_400/0?e=1583971200&v=beta&t=cBp0sf1K0DrnOWbYR6ftdYOUJA-jY2mYvADtQ7_N1T0,Financial Services,Askari Investment Management Limited (AIM),454.0,,"Asset Management, Wealth Management, Mutual Funds, Investment Advisory, Structured Products, and Capital Markets",Privately Held,http://www.investwithaim.com.pk
"airbrils
",2-10 employees,"Network and Technology Agnostic Global Connectivity Fabric driven by Block-chain, Machine Learning and Artificial Intelligence that will enable unprecedented monetisation opportunities for network operators and freedom of choice for users across the globe.",2017,"Palo Alto, California",https://media.licdn.com/dms/image/C4E0BAQGlsfgCHvh5tQ/company-logo_400_400/0?e=1583971200&v=beta&t=LFdBSUS73Ek66CsZnWIDIJmpl1PivJfQdXh9a3wKdfM,Internet,AIRBRILS,,,5G and WIRELESS,Privately Held,http://www.airbrils.com
"alg
",51-200 employees,"ALG is a leading global consultancy team with more than 25 years of professional experience working alongside the top players in the transport sector (operators, infrastructure developers and investors, etc.), advising them on how to better prepare to respond to strategic, capacity, infrastructure and operational challenges

Services

Strategy & Policy
Transaction & PPP partnership
Business advisory
Organization
Infrastructure development
Operations & Technology
Sector experience

Aviation (Airlines, Airports, CAA, ATM/CNS, etc.)
Maritime (Port terminals, Port Authority's, maritime companies)
Land transportation (Intermodal, Railways, Highways, Urban transport)
ALG is part of Indra Business Consulting (+600 consultants). ALG’s practice consists of more than 100 professionals and the company’s turnover for 2019 is budgeted at 20M USD. ALG has offices in Barcelona, Madrid, Dubai, London, Mexico D.F. and São Paulo.",1989,"Barcelona, Barcelona",https://media.licdn.com/dms/image/C560BAQEuQZYT_moH_g/company-logo_400_400/0?e=1583971200&v=beta&t=HBZ5Q_7tFNlPnmrsMmctXz6XsXO_vBVyZ0WBAUVEezo,Management Consulting,ALG,1445.0,"+34 934 632 312
        

          Phone number is +34 934 632 312","transportation business consultancy - aviation, maritime, inter-city transport, railways, infrastructure, aviation, maritime, and land transportation",Privately Held,http://www.alg-global.com
"amp
","5,001-10,000 employees","AMP was founded on a simple yet bold idea - that every individual should have the power and ability to control his or her life.

For more than 160 years, we've dedicated ourselves to making this possible. And while we've grown and changed over the decades, one thing has remained the same - our unwavering sense of purpose to help people own tomorrow.

Today we are the leading independent wealth management company in Australia and New Zealand, helping more than four million customers with:
- financial advice
- superannuation, retirement income and other investment products for individuals
- superannuation services for businesses
- administration, banking and investment services for self-managed super funds
- income protection, disability and life insurance
- selected banking products, and
- investments in shares, fixed interest, property, infrastructure, multi-manager and multi-asset funds.

For information on AMP products and services;

Australia: Visit amp.com.au or call 133 888 within Australia
New Zealand: Visit amp.co.nz or call 0800 267 111 within New Zealand
For AMP Capital products and services: Visit ampcapital.com.au or call 1800 658 404",1849,"Sydney, NSW",https://media.licdn.com/dms/image/C560BAQEFqsw1CCTHTA/company-logo_400_400/0?e=1583971200&v=beta&t=jHBwn_XHm8tFvER4R89a9d2wDUDkcQ0gP4cdeV96cgk,Financial Services,AMP,8810.0,,"Financial Planning and Advice, Superannuation, Investments, and Risk and Insurance Products",Public Company,http://www.amp.com.au
"apm
","5,001-10,000 employees","8000 #entrepeneurs francophones de #pme, eti, grands groupes et #startup s’engagent chaque mois à se questionner, échanger, partager et se perfectionner au sein de clubs d'​#entrepreneurs. Cette communauté globale engagée à faire progresser durablement l’#entreprise est présente dans 34 pays. 
#innovation #management 
8000 dirigeants dans 34 pays - 400 experts.﻿ +25 000 dirigeants se sont perfectionnés au sein de l’Apm depuis 1987.",1987,"Paris , Ile de France",https://media.licdn.com/dms/image/C510BAQHyWHPdHBT5zQ/company-logo_400_400/0?e=1583971200&v=beta&t=UAJCyYl7wovD9brUDq7gmNwe2DAz74ULZQKzxFIrGoE,Professional Training & Coaching,APM - Association Progrès du Management,533.0,,"Développement du dirigeant, Stratégie d'entreprise, Management, Innovation, Progrès de l'entreprise, Digital, Co-développement, Open innovation, Lean management, and Formation",Nonprofit,http://www.apm.fr
"aps
",51-200 employees,"Stichting APS is een not-for-profit onderwijsinstituut op het gebied van leren, onderwijsvormgeving, schoolontwikkeling en leiderschap.",,,https://media.licdn.com/dms/image/C4D0BAQH24wpfh4M-nw/company-logo_400_400/0?e=1583971200&v=beta&t=3OVb1f4w3VqK0IxDwvcPcpW4M90GxpyisJQ4usqbZDk,Education Management,APS,3678.0,,"Onderwijsadvies, Schoolontwikkeling, Leiderschap, Innovatieprojecten, and Onderzoek",Educational Institution,http://www.aps.nl
"ar
",11-50 employees,"Somos un estudio de arquitectura joven, basado en criterios y conceptos de diseño actuales, capaces de crear cualquier espacio a partir de ideas frescas y revolucionarias,  para cubrir las expectativas de cualquier reto que se nos presente.

AR Studio fue creado como una herramienta para llevar las soluciones más acertadas a los clientes hambrientos de una arquitectura nueva y versátil, clientes con necesidades específicas que estén dispuestos a experimentar la cultura del diseño de primera mano.

Nuestros proyectos tienen alcances infinitos, desde el diseño de la vivienda con el menor metraje hasta el desarrollo urbano más complicado, siempre ponemos a la mano de nuestros clientes la mejor opción de diseño para que pueda disfrutar de su espacio al máximo en términos de comodidad, eficiencia y versatilidad.",2009,"Playa del Carmen, Quintana Roo",https://media.licdn.com/dms/image/C4E0BAQH1aN5XIwXVkQ/company-logo_400_400/0?e=1583971200&v=beta&t=7CGVRmqJvi8YF_-cXjbpbS66cXwyLiqFkewq-9J1qnI,Architecture & Planning,tallerdearquitecturamodularmexico,454.0,,"Diseño Arquitectonico, Proyecto ejecutivo, Proyecto de Automatización, Mantenimiento Residencial, Administración de condominios, Proyecto de Remodelación, Levantamiento Arquitectónico, Administración de Obra, Render, Planeación Urbana, Arquitectura, Diseño, Construcción, Remodelación, Arquitectura Residencial, Arquitectura Comercial, Arquitectura de Hospitalidad, and Desarrollo Inmobiliario",Sole Proprietorship,http://www.ar-studio.com.mx
"ari
","1,001-5,000 employees","ARI fleet management, a Holman Enterprises company, has revolutionized fleet management with technology that enables organizations around the world to realize new levels of efficiency and value by leveraging the power of data through the ARI insights® portal. Founded in 1948, ARI, now the largest family owned fleet management company in the industry, has continuously uncovered new ways for fleet managers to translate their fleets’ data into decreased costs and improved driver safety. ARI manages more than 1.4 million vehicles in North America, the UK and Europe and, together with its strategic partners, 2.4 million vehicles worldwide. Headquartered in Mount Laurel, New Jersey, ARI has been recognized as one of the “100 Best Companies to Work For” by Fortune magazine for five years in a row.

Visit us at www.arifleet.com to learn more about our fleet management partnership approach.

ARI Global Headquarters
4001 Leadenhall Road
Mount Laurel, NJ 08054
Phone: 1-800-477-4715",1948,"Mount Laurel, NJ",https://media.licdn.com/dms/image/C560BAQH9EtLcvwUSTA/company-logo_400_400/0?e=1583971200&v=beta&t=Ug9NkXIwApGmyJgTbrmmkQu4zk2RkUtH0YnF3sldBsI,Automotive,ARI,2341.0,,Car and truck fleet leasing and management and Fleet Management Consulting,Privately Held,http://www.arifleet.com/
"arksys
",51-200 employees,"Arksys Pvt Ltd is a multi-skilled software service provider with a highly competent
workforce. Its strongest advantage is its excellent pool of skilled resources,
recruited from the finest clan of professionals in the industry. They provide a
vibrant combination of strategic IT consultancy services and technology skills.

At ARKSYS, we have a precocious team of experts to deliver what our clients
need and the right kind of proficiency in software development, web application
development. We are fresh but cognitive about what we do and bring the best of
Client Project Services.

Our expertise doesn’t end with that; we also provide security wares such as
security application programs and security cameras with which safety of a
company is guaranteed. Be it software or security, almost every industry needs it,
Banking/Finance, IT Industry/Hotels/Travel Industry, Hospitals. We assure you
and take complete responsibility in providing you more than what is expected.",2008,,https://media.licdn.com/dms/image/C4D0BAQFkDISBPZ1Rbw/company-logo_400_400/0?e=1583971200&v=beta&t=2SxyBE3cNILDqdAmReFK4mWIzaae5-mYqCW-W85h0gY,Information Technology & Services,Arksys,68.0,,"Web / Android / i phone / BlackBerry / IOS Applications, SEO / SMO, DOT NET / C# / SQL Programming, Telecommunication projects based on VoIP / SIP / RTP - Protocols, and JAVA Programming",Privately Held,http://arksys.co.in/
"ars
",,ARS is a company based out of Guatemala.,,,,,,,,,,http://ars.com.gt
"ascor
",11-50 employees,"Ascor™ Group of Companies - Independent Wealth Managers. 

Our service combines personal investments, tax planning strategies, estate planning, auditing and accounting. It is designed to provide a broad array of services within the confines of one office - the :""Professional one stop service offering""​.
 
High Net Worth Individuals (HNWIs), small and medium business owners and their families who desire the assistance of a credentialed financial advisory specialist call upon Ascor™ Wealth Managers.

Ascor™ Wealth Managers will coordinate auditing, accounting, retail banking, estate planning, legal resources, tax professionals and investment management. As wealth managers we are independent qualified Auditors, Professional Accountants, Certified Financial Planner®, Registered tax practitioners and finally people who care about their clients. 

Ascor™ is also known as ""Mine Rehabilitation""​ finance experts. With some of the best qualified Financial Advisors in South Africa, we know that we can and will provide superior advice and services.",1998,"Pretoria, Gauteng",https://media.licdn.com/dms/image/C4E0BAQHHbNGzXvr-eQ/company-logo_400_400/0?e=1583971200&v=beta&t=JuUgwhIulGa4S4uG891kbiMOtb8xKTKRmNs5NIKH5Q8,Financial Services,Ascor® Independent Wealth Managers,35.0,,"Investment Planning, Financial Planning, Estate Planning, Accounting, Retirement Planning, Life Insurance, Medical Aid, Auditing, Tax Planning, and Secretarial",Privately Held,http://www.ascor.co.za
"aberco
",,"Aberco is a company based out of 7 Queens Gardens, Aberdeen, United Kingdom.",,,,,,,,,,http://aberco.co.uk
"about
",2-10 employees,"ABOUT develop ideas and concepts for mobile applications that support your business and strengthen your competitive advantage. Designed for smartphones and tablets, our applications are designed to make life easier and more enjoyable for businesses, their customers and employees. 

We’re well on the way to becoming the preferred partner for companies who want to get closer to their customers and target groups via apps. 

We are closely connected to the development environment in India and Pakistan, which is reflected in our competitive development budgets and smoothly running projects. We develop applications on all common platforms and we take pride in simplifying practical processes and make sure that all the applications we design are easy to use and intuitive. 

We set relevant milestones for all involved and comply with current norms and standards. which makes the approval process quick and easy.

Apps are about to change the way we think sales, marketing and communication. This is creating a completely new agenda. . ABOUT makes it possible to have a targeted and interactive dialogue with your customers – and an instant response – 24/7.

We will be happy to give you a presentation anytime so please do not hesitate.",2010,,https://media.licdn.com/dms/image/C4E0BAQHKu89uyF-rdA/company-logo_400_400/0?e=1583971200&v=beta&t=Vko7vtNEQYfC7JwIy7s-M2_lI1r22TAUNhaFdutnmJg,Computer Software,ABOUT Mobile,10.0,,"Mobile Enterprise apps, Mobile web, Mobile business, Device Excellence: iPhone, Android, BlackBerry, Windows 7, Mobile apps, Mobile Internet Platform, Mobile branding, Apps for your business, Documentation App, CRM App - Microsoft dynamic, and Conference App",Privately Held,http://www.aboutmobile.dk
"acecargo
",2-10 employees,"acecargo is a company based out of 2818 Av Apoquindo, LAS Condes - RM, Chile.",,,,,,,,,,http://acecargo.cl
